vphone_ad,year,unit_code,street_ad,scity_ad,state_ad,szip_ad,type_cd,closed_ind,new_ind,super_nm,category_cd,url_ad,grade_range_cd,calendar_type_txt,sna_pgm_type_cd,cover_letter_ad,school_type_txt,calendar_only_txt,title1_type_cd,clp_ind,focus_clp_ind,summer_program_ind,asm_no_spg_ind,no_data_spg_ind,Lea_Name,School_Name,State_Name,esea_status,student_num,lea_avg_student_num,st_avg_student_num,Grad_project_status,stem,url,Latitude,Longitude,D_D_E_F_G,Street number,Street,City,State,Country,Zip,Address components
(704)272-5396,2017,40304,177 Ledbetter Street,Polkton,NC,28135,P,0,0,,H,http://www.ansonschools.org,13-Sep,Regular School, Traditional Calendar,R,http://ansonschools.org/files/user/17/file/NC%20School%20Report%20Card%20Superintendents%20Welcome%20Letter%20-2016-17%20data.pdf,Regular School,Traditional Calendar,,,,Y,,,Anson County Schools,Anson Co. Early College High,State Of North Carolina,,209,319,853,Y,,34.9987329,-80.2114479,177 Ledbetter Street Polkton NC 28135,,Ledbetter Street,Polkton,North Carolina,United States,28135,"Ledbetter Street, Polkton, Lanesboro, Anson County, North Carolina, United States, 28135"
(704)694-9301,2017,40306,96 Anson High School Road,Wadesboro,NC,28170,P,0,0,,H,http://ahs.ansonschools.org/home.aspx,12-Sep,Regular School, Traditional Calendar,R,http://ansonschools.org/files/user/17/file/NC%20School%20Report%20Card%20Superintendents%20Welcome%20Letter%20-2016-17%20data.pdf,Regular School,Traditional Calendar,,,Y,Y,,,Anson County Schools,Anson High School,State Of North Carolina,P,629,319,853,Y,,34.9768643,-80.1037392,96 Anson High School Road Wadesboro NC 28170,96,Anson High School Road,Wadesboro,North Carolina,United States,28170,"96, Anson High School Road, Wadesboro, Wadesboro, Anson County, North Carolina, United States, 28170, 8538"
(704)694-9301,2017,40700,96 Anson High School Road,Wadesboro,NC,28170,P,0,0,,H,http://www.anson.k12.nc.us/anths/AnsonNewTech.html,12-Sep,Regular School, Traditional Calendar,R,http://ansonschools.org/files/user/17/file/NC%20School%20Report%20Card%20Superintendents%20Welcome%20Letter%20-2016-17%20data.pdf,Regular School,Traditional Calendar,,,,Y,,,Anson County Schools,Anson New Tech High,State Of North Carolina,,119,319,853,Y,,34.9768643,-80.1037392,96 Anson High School Road Wadesboro NC 28170,96,Anson High School Road,Wadesboro,North Carolina,United States,28170,"96, Anson High School Road, Wadesboro, Wadesboro, Anson County, North Carolina, United States, 28170, 8538"
(336)846-2400,2017,50302,184 Campus Drive,West Jefferson,NC,28694,P,0,0,,H,http://www.ashe.k12.nc.us/achs/web/home/index.htm,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Ashe County Schools,Ashe County High,State Of North Carolina,,919,919,853,N,,36.392264,-81.478117,184 Campus Drive West Jefferson NC 28694,184,Campus Drive,West Jefferson,North Carolina,United States,28694,"184, Campus Drive, West Jefferson, West Jefferson, Ashe County, North Carolina, United States, 28694"
(828)733-0151,2017,60302,401 Avery County High School Road,Newland,NC,28657,P,0,0,,H,http://www.averyschools.net/schools/ahs.aspx,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Avery County Schools,Avery County High,State Of North Carolina,,370,195,853,N,,36.0692387,-81.91897,401 Avery County High School Road Newland NC 28657,401,Avery Co High School Road,Newland,North Carolina,United States,28657,"401, Avery Co High School Road, Newland, Newland No. 2, Avery County, North Carolina, United States, 28657, 8959"
(828)733-0151,2017,60700,401 Avery County High School Rd,Newland,NC,28657,P,0,0,,H,http://www.averyschools.net/schools/ams.aspx,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Avery County Schools,Avery High STEM Academy,State Of North Carolina,,152,195,853,N,,36.0692387,-81.91897,401 Avery County High School Rd Newland NC 28657,401,Avery Co High School Road,Newland,North Carolina,United States,28657,"401, Avery Co High School Road, Newland, Newland No. 2, Avery County, North Carolina, United States, 28657, 8959"
(828)733-0151,2017,60701,401 Avery County High School Rd,Newland,NC,28657,P,0,0,,H,,9-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Avery County Schools,Avery High Viking Academy,State Of North Carolina,,64,195,853,N,,36.0692387,-81.91897,401 Avery County High School Rd Newland NC 28657,401,Avery Co High School Road,Newland,North Carolina,United States,28657,"401, Avery Co High School Road, Newland, Newland No. 2, Avery County, North Carolina, United States, 28657, 8959"
(252)940-6461,2017,70311,5337 Hwy 264 East,Washington,NC,27889,P,0,0,,H,,13-Sep,Regular School, Traditional Calendar,R,https://www.beaufort.k12.nc.us/userfiles/uploads/6/phuggins/doc090517-09052017163140.pdf,Regular School,Traditional Calendar,,,,Y,,,Beaufort County Schools,Beaufort Co Early College High,State Of North Carolina,,232,524,853,N,,35.6013118,-77.1231236,5337 Hwy 264 East Washington NC 27889,5337,U.S. 264,Washington,North Carolina,United States,27889,"5337, U.S. 264, Washington, Washington, Beaufort County, North Carolina, United States, 27889"
(252)943-6341,2017,70330,7868 Free Union Church Road,Pinetown,NC,27865,P,0,0,,H,http://beaufort.nhs.schoolfusion.us/,12-Sep,Regular School, Traditional Calendar,R,https://www.beaufort.k12.nc.us/userfiles/uploads/6/phuggins/doc090517-09052017163140.pdf,Regular School,Traditional Calendar,,,,Y,,,Beaufort County Schools,Northside High, Pinetown,State Of North Carolina,421,524,853,N,,35.5365774,-76.7299827,7868 Free Union Church Road Pinetown NC 27865,7868,Free Union Church Road,Pinetown,North Carolina,United States,27865,"7868, Free Union Church Road, Pinetown, Pantego, Beaufort County, North Carolina, United States, 27865, 9550"
(252)940-1881,2017,70339,5700 Hwy 33 East,Chocowinity,NC,27817,P,0,0,,H,http://beaufort.shs.schoolfusion.us/,12-Sep,Regular School, Traditional Calendar,R,https://www.beaufort.k12.nc.us/userfiles/uploads/6/phuggins/doc090517-09052017163140.pdf,Regular School,Traditional Calendar,,,,Y,,,Beaufort County Schools,Southside High,State Of North Carolina,,448,524,853,N,,35.4461925,-77.0568718,5700 Hwy 33 East Chocowinity NC 27817,5700,North Carolina 33,Chocowinity,North Carolina,United States,27817,"5700, North Carolina 33, Chocowinity, Chocowinity, Beaufort County, North Carolina, United States, 27817"
(252)946-0858,2017,70342,400 Slatestone Road,Washington,NC,27889,P,0,0,,H,http://beaufort.whs.schoolfusion.us/,12-Sep,Regular School, Traditional Calendar,R,https://www.beaufort.k12.nc.us/userfiles/uploads/6/phuggins/doc090517-09052017163140.pdf,Regular School,Traditional Calendar,,,,Y,,,Beaufort County Schools,Washington High,State Of North Carolina,,995,524,853,N,,35.5573276,-77.0151413,400 Slatestone Road Washington NC 27889,400,Slatestone Road,Washington,North Carolina,United States,27889,"400, Slatestone Road, Washington, Long Acre, Beaufort County, North Carolina, United States, 27889"
(252)794-2150,2017,80311,819 Governors Road,Windsor,NC,27983,P,0,0,,H,http://www.bec.bertie.k12.nc.us,13-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,Y,,,Y,,,Bertie County Schools,Bertie Early College High,State Of North Carolina,,179,257,853,Y,,36.0344385,-77.0136972,819 Governors Road Windsor NC 27983,819,Governors Road,Windsor,North Carolina,United States,27983,"819, Governors Road, Windsor, Windsor, Bertie County, North Carolina, United States, 27983, 7650"
(252)794-3034,2017,80312,716 US Hwy 13 North,Windsor,NC,27983,P,0,0,,H,http://www.bhs.bertie.k12.nc.us,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,Y,,,Y,,,Bertie County Schools,Bertie High,State Of North Carolina,,457,257,853,Y,,36.0513466,-76.9679162,716 US Hwy 13 North Windsor NC 27983,716,U.S. 13,Windsor,North Carolina,United States,27983,"716, U.S. 13, Windsor, Windsor, Bertie County, North Carolina, United States, 27983"
(252)794-5820,2017,80700,716 US Highway 13 North,Windsor,NC,27983,P,0,0,,H,http://bshs.bertie.k12.nc.us/,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,Y,,,Y,,,Bertie County Schools,Bertie STEM High,State Of North Carolina,,136,257,853,Y,,36.0513466,-76.9679162,716 US Highway 13 North Windsor NC 27983,716,U.S. 13,Windsor,North Carolina,United States,27983,"716, U.S. 13, Windsor, Windsor, Bertie County, North Carolina, United States, 27983"
(910)247-4610,2017,90330,5600 NC Hwy 87 East,Elizabethtown,NC,28337,P,0,0,,H,http://www.bladen.k12.nc.us,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Bladen County Schools,East Bladen High,State Of North Carolina,,651,698,853,N,,34.580132,-78.530589,5600 NC Hwy 87 East Elizabethtown NC 28337,5600,North Carolina 87,Elizabethtown,North Carolina,United States,28337,"5600, North Carolina 87, Elizabethtown, Elizabethtown, Bladen County, North Carolina, United States, 28337, 4898"
(910)862-2130,2017,90368,1600 NC Hwy 410,Bladenboro,NC,28320,P,0,0,,H,www.bladen.k12.nc.us,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Bladen County Schools,West Bladen High,State Of North Carolina,,744,698,853,N,,34.6384911,-78.7413234,1600 NC Hwy 410 Bladenboro NC 28320,1600,North Carolina 410,Bladenboro,North Carolina,United States,28320,"1600, North Carolina 410, Bladenboro, Bethel, Bladen County, North Carolina, United States, 28320"
(910)754-8565,2017,100307,50 College Road NE,Bolivia,NC,28422,P,0,0,,H,http://www.bcswan.net/ECHS,13-Sep,Regular School, Year-Round Calendar,Y,https://www.bcswan.net/Domain/336,Regular School,Year-Round Calendar,,,,,,,Brunswick County Schools,Brunswick County Early College,State Of North Carolina,,343,970,853,Y,,34.0390749,-78.2299029,50 College Road NE Bolivia NC 28422,50,College Road Northeast,Bolivia,North Carolina,United States,28422,"Administrative Building & Student Center, 50, College Road Northeast, Bolivia, Lockwoods Folly, Brunswick County, North Carolina, United States, 28422"
(910)371-2261,2017,100326,114 Scorpion Drive,Leland,NC,28451,P,0,0,,H,http://www.co.brunswick.k12.nc.us/education/school/school.php?sectionid=10,12-Sep,Regular School, Traditional Calendar,R,https://www.bcswan.net/Domain/336,Regular School,Traditional Calendar,,,,,,,Brunswick County Schools,North Brunswick High,State Of North Carolina,,1075,970,853,Y,,34.240696,-78.023383,114 Scorpion Drive Leland NC 28451,114,Scorpion Drive Northeast,Leland,North Carolina,United States,28451,"114, Scorpion Drive Northeast, Leland, Northwest, Brunswick County, North Carolina, United States, 28451, 9101"
(910)845-2203,2017,100334,280 Cougar Drive BSL,Southport,NC,28461,P,0,0,,H,http://www.bcswan.net/SBHS,12-Sep,Regular School, Traditional Calendar,R,https://www.bcswan.net/Domain/336,Regular School,Traditional Calendar,,,,,,,Brunswick County Schools,South Brunswick High,State Of North Carolina,,1097,970,853,Y,,34.0111568,-78.0430647,280 Cougar Drive BSL Southport NC 28461,280,Cougar Road,Southport,North Carolina,United States,28461,"280, Cougar Road, Southport, Town Creek, Brunswick County, North Carolina, United States, 28461, 9006"
(910)754-4338,2017,100348,550 Whiteville Road NW,Shallotte,NC,28470,P,0,0,,H,http://www.bcswan.net/WBHS,12-Sep,Regular School, Traditional Calendar,R,https://www.bcswan.net/Domain/336,Regular School,Traditional Calendar,,Y,,,,,Brunswick County Schools,West Brunswick High,State Of North Carolina,,1364,970,853,Y,,33.9811785,-78.4099352,550 Whiteville Road NW Shallotte NC 28470,550,Whiteville Road Northwest,Shallotte,North Carolina,United States,28470,"550, Whiteville Road Northwest, Shallotte, Shallotte, Brunswick County, North Carolina, United States, 28470, 6556"
(828)298-2500,2017,110304,1 Rocket Drive,Asheville,NC,28803,P,0,0,,H,https://acrhs.buncombeschools.org/,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Buncombe County Schools,Reynolds High,State Of North Carolina,,1265,783,853,Y,,35.545811,-82.477241,1 Rocket Drive Asheville NC 28803,1,Rocket Drive,Asheville,North Carolina,United States,28803,"1, Rocket Drive, Asheville, Asheville, Buncombe County, North Carolina, United States, 28803, 9100"
(828)232-4123,2017,110322,340 Victoria Road,Asheville,NC,28801,P,0,0,,H,https://bcec.buncombeschools.org/,13-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Buncombe County Schools,Early College,State Of North Carolina,,273,783,853,Y,,35.574038,-82.554934,340 Victoria Road Asheville NC 28801,340,Victoria Road,Asheville,North Carolina,United States,28801,"340, Victoria Road, Asheville, Buncombe County, North Carolina, United States, 28801"
(828)232-4123,2017,110323,340 Victoria Road,Asheville,NC,28801,P,0,0,,H,https://bcmc.buncombeschools.org/,12-Nov,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Buncombe County Schools,Middle College,State Of North Carolina,,57,783,853,Y,,35.574038,-82.554934,340 Victoria Road Asheville NC 28801,340,Victoria Road,Asheville,North Carolina,United States,28801,"340, Victoria Road, Asheville, Buncombe County, North Carolina, United States, 28801"
(828)686-3852,2017,110336,99 Lake Eden Road,Black Mountain,NC,28711,P,0,0,,H,https://cdohs.buncombeschools.org/,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Buncombe County Schools,Owen High,State Of North Carolina,,764,783,853,Y,,35.6140761,-82.3713301,99 Lake Eden Road Black Mountain NC 28711,99,Lake Eden Road,Black Mountain,North Carolina,United States,28711,"99, Lake Eden Road, Black Mountain, Black Mountain, Buncombe County, North Carolina, United States, 28711, 8849"
(828)232-4251,2017,110340,60 Lees Creek Road,Asheville,NC,28806,P,0,0,,H,https://caehs.buncombeschools.org/,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Buncombe County Schools,Erwin High,State Of North Carolina,,1271,783,853,Y,,35.618614,-82.626562,60 Lees Creek Road Asheville NC 28806,60,Lees Creek Road,Asheville,North Carolina,United States,28806,"60, Lees Creek Road, Asheville, Leicester, Buncombe County, North Carolina, United States, 28806, 4713"
(828)670-5000,2017,110352,475 Enka Lake Road,Candler,NC,28715,P,0,0,,H,https://ehs.buncombeschools.org/,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Buncombe County Schools,Enka High,State Of North Carolina,,1090,783,853,Y,,35.5294497,-82.6654673,475 Enka Lake Road Candler NC 28715,475,Enka Lake Road,Candler,North Carolina,United States,28715,"475, Enka Lake Road, Candler, Lower Hominy, Buncombe County, North Carolina, United States, 28715"
(828)645-4221,2017,110380,890 Clarks Chapel Road,Weaverville,NC,28787,P,0,0,,H,https://nbhs.buncombeschools.org/,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,Y,,Y,,,Buncombe County Schools,North Buncombe High,State Of North Carolina,,1078,783,853,Y,,35.739801,-82.557616,890 Clarks Chapel Road Weaverville NC 28787,890,Clarks Chapel Road,Weaverville,North Carolina,United States,28787,"890, Clarks Chapel Road, Weaverville, Flat Creek, Buncombe County, North Carolina, United States, 28787"
(828)654-1765,2017,110416,250 Overlook Road,Asheville,NC,28803,P,0,0,,H,https://tcrhs.buncombeschools.org/,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Buncombe County Schools,Roberson High,State Of North Carolina,,1584,783,853,Y,,35.487034,-82.5352348,250 Overlook Road Asheville NC 28803,250,Overlook Road,Asheville,North Carolina,United States,28803,"250, Overlook Road, Asheville, Buncombe County, North Carolina, United States, 28803"
(828)271-4521,2017,110500,175 Bingham Rd Ste 10,Asheville,NC,28806,P,0,0,,H,https://mlnda.buncombeschools.org/,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Buncombe County Schools,Nesbitt Discovery Academy,State Of North Carolina,,294,783,853,,,35.6068121,-82.5839146,175 Bingham Rd Ste 10 Asheville NC 28806,175,Bingham Road,Asheville,North Carolina,United States,28806,"10, 175, Bingham Road, Asheville, Buncombe County, North Carolina, United States, 28806"
(828)350-2500,2017,111302,419 McDowell Street,Asheville,NC,28803,P,0,0,,H,http://www.ashevillecityschools.net/pages/Asheville_High,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Asheville City Schools,Asheville High,State Of North Carolina,,969,658,853,Y,,35.57262,-82.5517436,419 McDowell Street Asheville NC 28803,419,McDowell Street,Asheville,North Carolina,United States,28803,"419, McDowell Street, Asheville, Buncombe County, North Carolina, United States, 28803, 2610"
(828)350-2700,2017,111700,419 McDowell Street,Asheville,NC,28803,P,0,0,,H,http://www.ashevillecityschools.net/pages/SILSA,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Asheville City Schools,School of Inquiry and Life Sciences,State Of North Carolina,,347,658,853,Y,,35.57262,-82.5517436,419 McDowell Street Asheville NC 28803,419,McDowell Street,Asheville,North Carolina,United States,28803,"419, McDowell Street, Asheville, Buncombe County, North Carolina, United States, 28803, 2610"
(828)448-3175,2017,120310,1001 Burkemont Ave,Morganton,NC,28655,P,0,0,,H,http://www.burke.k12.nc.us/schools/bmc/,12-Nov,Regular School, Year-Round Calendar,Y,http://www.burke.k12.nc.us/departments/testing-and-accountability/superintendent-letter,Regular School,Year-Round Calendar,,,,,,,Burke County Schools,Burke Middle College,State Of North Carolina,,125,758,853,Y,,35.7224938,-81.6933526,1001 Burkemont Ave Morganton NC 28655,1001,Burkemont Avenue,Morganton,North Carolina,United States,28655,"1001, Burkemont Avenue, Morganton, Morganton, Burke County, North Carolina, United States, 28655"
(828)397-5541,2017,120314,3695 East Burke Boulevard,Connelly Springs,NC,28612,P,0,0,,H,http://www.burke.k12.nc.us/ebhs/,12-Sep,Regular School, Traditional Calendar,R,http://www.burke.k12.nc.us/departments/testing-and-accountability/superintendent-letter,Regular School,Traditional Calendar,,,,Y,,,Burke County Schools,East Burke High,State Of North Carolina,,926,758,853,Y,,35.719945,-81.482611,3695 East Burke Boulevard Connelly Springs NC 28612,3695,East Burke Boulevard,Connelly Springs,North Carolina,United States,28612,"3695, East Burke Boulevard, Connelly Springs, Icard, Burke County, North Carolina, United States, 28612"
(828)433-1310,2017,120318,511 Independence Boulevard,Morganton,NC,28655,P,0,0,,H,http://www.burke.k12.nc.us/fhs/,12-Sep,Regular School, Traditional Calendar,R,http://www.burke.k12.nc.us/departments/testing-and-accountability/superintendent-letter,Regular School,Traditional Calendar,,,,Y,,,Burke County Schools,Freedom High,State Of North Carolina,,1132,758,853,Y,,35.7446994,-81.7176362,511 Independence Boulevard Morganton NC 28655,511,Independence Boulevard,Morganton,North Carolina,United States,28655,"511, Independence Boulevard, Morganton, Quaker Meadows, Burke County, North Carolina, United States, 28655, 5502"
(828)879-4200,2017,120346,709 Lovelady Road NE,Valdese,NC,28690,P,0,0,,H,http://www.burke.k12.nc.us/dhs/,12-Sep,Regular School, Traditional Calendar,R,http://www.burke.k12.nc.us/departments/testing-and-accountability/superintendent-letter,Regular School,Traditional Calendar,,,,Y,,,Burke County Schools,Jimmy C Draughn High School,State Of North Carolina,,669,758,853,Y,,35.7389114,-81.5692634,709 Lovelady Road NE Valdese NC 28690,709,Lovelady Road Northeast,Valdese,North Carolina,United States,28690,"709, Lovelady Road Northeast, Valdese, Lovelady, Burke County, North Carolina, United States, 28690, 8856"
(828)433-3000,2017,120370,701 Enola Road,Morganton,NC,28655,P,0,0,,H,http://www.burke.k12.nc.us/phs/,12-Sep,Regular School, Traditional Calendar,R,http://www.burke.k12.nc.us/departments/testing-and-accountability/superintendent-letter,Regular School,Traditional Calendar,,,,Y,,,Burke County Schools,Robert L. Patton High School,State Of North Carolina,,940,758,853,Y,,35.701655,-81.669386,701 Enola Road Morganton NC 28655,701,Enola Road,Morganton,North Carolina,United States,28655,"701, Enola Road, Morganton, Morganton, Burke County, North Carolina, United States, 28655, 4624"
(704)788-6700,2017,130307,1355 Cox Mill Rd,Concord,NC,28027,P,0,0,,H,http://www.cabarrus.k12.nc.us/coxmillhs,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Cabarrus County Schools,Cox Mill High School,State Of North Carolina,,1676,1106,853,N,,35.39528,-80.7288796,1355 Cox Mill Rd Concord NC 28027,1355,Cox Mill Road,Concord,North Carolina,United States,28027,"1355, Cox Mill Road, Concord, 2, Poplar Tent, Cabarrus County, North Carolina, United States, 28027"
(704)788-4500,2017,130316,300 Pitts School Road SW,Concord,NC,28027,P,0,0,,H,http://www.cabarrus.k12.nc.us/robinson,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,Y,,,Cabarrus County Schools,Jay M Robinson High,State Of North Carolina,,1301,1106,853,N,,35.3625802,-80.6616217,300 Pitts School Road SW Concord NC 28027,300,Pitts School Road Southwest,Concord,North Carolina,United States,28027,"300, Pitts School Road Southwest, Concord, 2, Poplar Tent, Cabarrus County, North Carolina, United States, 28027, 3903"
(704)436-9321,2017,130324,700 Walker Road,Mount Pleasant,NC,28124,P,0,0,,H,http://www.cabarrus.k12.nc.us/mountpleasanths,12-Sep,Regular School, Traditional Calendar,R,,Regular School,Traditional Calendar,,,,,,,Cabarrus County Schools,Mount Pleasant High,State Of North Carolina,,860,1106,853,N,,35.4076448,-80.4821312,700 Walker Road Mount Pleasant NC 28124,700,Walker Road,Mount Pleasant,North Carolina,United States,28124,"700, Walker Road, Mount Pleasant, 8, Mount Pleasant, Cabarrus County, North Carolina, United States, 28124, 9596"
